site	product_id	variant_id	old_price	quantity	isbn10	condition	download_time	basic_price
ST	11728276623	47730902479	159.98	4	1402061099	new	20191002	
ST	11728276623	47820917967	131.65	7	9048175399	used	20191002	
ST	11824012687	48037671119	359.94	5	3319381016	new	20191002	
ST	11824012687	48037671183	371.95	6	3319076612	new	20191002	
ST	11824012687	48061456719	357.55	6	3319381016	used	20191002	
ST	11822555023	48033618639	226.14	4	3662521555	new	20191002	
ST	11822555023	48060602831	129.68	4	3662521555	used	20191002	
ST	11809595215	47991187983	120.29	4	1137449993	new	20191002	
ST	11809595215	48058717839	128.99	6	1137449993	used	20191002	
ST	11737872591	47663969935	28.95	3	150528578X	new	20191002	
ST	11737872591	47852339407	28.95	7	150528578X	used	20191002	
ST	11727892175	47603675855	80.0	7	363976398X	new	20191002	
ST	11727892175	47819101839	80.0	5	363976398X	used	20191002	
ST	11727867919	47603536847	137.58	5	1681232758	new	20191002	
ST	11727867919	47819001487	97.62	5	1681232758	used	20191002	
ST	11727803407	47603202703	73.58	6	168123274X	new	20191002	
ST	11727803407	47818620303	73.58	7	168123274X	used	20191002	
ST	11726583823	47591949839	95.79	7	3639325079	new	20191002	
ST	11726583823	47810512783	95.79	6	3639325079	used	20191002	
ST	11728052431	47604814031	96.88	7	3659712825	new	20191002	
ST	11728052431	47819977999	96.88	7	3659712825	used	20191002	
ST	11728030415	47604606863	121.6	5	3659298522	new	20191002	
ST	11728030415	47819869583	121.6	4	3659298522	used	20191002	
ST	11825580111	48042597071	32.9	6	3668338272	new	20191002	
ST	11825580111	48443568335	32.9	5	3668338272	used	20191002	
ST	11821521935	48030955983	118.05	3	1522518916	new	20191002	
ST	11821521935	48055182607	119.76	7	1522518916	used	20191002	
ST	11728034063	47604639247	79.46	4	3659379115	new	20191002	
ST	11728034063	47819892367	79.46	7	3659379115	used	20191002	
ST	11728040335	47604697551	72.38	3	3659500372	new	20191002	
ST	11728040335	47819918671	72.38	5	3659500372	used	20191002	
ST	11735436047	47649600783	147.18	4	3844307478	new	20191002	
ST	11735436047	47850403279	147.18	5	3844307478	used	20191002	
ST	11808259471	47987001487	84.78	6	1475832826	new	20191002	
ST	11808259471	48055182671	84.78	6	1475832826	used	20191002	
ST	11808286479	47987037903	43.18	7	1475832834	new	20191002	
ST	11808286479	48055182799	43.18	4	1475832834	used	20191002	
ST	11734320463	47643542543	91.89	4	3659203785	new	20191002	
ST	11734320463	48059373327	91.89	3	3659203785	used	20191002	
ST	11825308239	48041895951	77.31	3	1506308228	new	20191002	
ST	11825308239	48439459663	53.89	7	1506308228	used	20191002	
ST	11727175375	47597346063	319.97	7	3642091164	new	20191002	
ST	11727175375	47814453327	319.97	3	3642091164	used	20191002	
ST	11730798863	47622645711	151.09	6	4431542876	new	20191002	
ST	11730798863	48055911823	155.87	4	4431542876	used	20191002	
ST	11721251087	47545202127	48.0	7	3639861396	new	20191002	
ST	11721251087	47807436431	48.0	4	3639861396	used	20191002	
ST	11807817231	47986001999	33.9	6	366835779X	new	20191002	
ST	11732468175	47633880975	137.79	4	0415711894	new	20191002	
ST	11732468175	47734839119	90.0	7	0415711908	new	20191002	
ST	11732468175	47841601871	137.79	4	0415711894	used	20191002	
ST	11739875215	47673536975	78.4	5	3659518905	new	20191002	
ST	11739875215	48063551887	78.4	4	3659518905	used	20191002	
ST	11735445967	47649639247	315.76	5	9048167418	new	20191002	
ST	11735445967	47850432655	315.25	5	9048167418	used	20191002	
ST	11821574863	48031114831	90.56	7	9811046298	new	20191002	
ST	11746034191	47709828239	78.4	7	3659528811	new	20191002	
ST	11746034191	48442835407	78.4	7	3659528811	used	20191002	
ST	11727232015	47597797071	90.06	6	3319293567	new	20191002	
ST	11727232015	47814850895	90.06	3	3319293567	used	20191002	
ST	11822540047	48033588559	132.85	4	3662460912	new	20191002	
ST	11822540047	48060561231	105.95	6	3662460912	used	20191002	
ST	11727140687	47597101647	224.02	5	3319187805	new	20191002	
ST	11727140687	47814144847	123.84	5	3319187805	used	20191002	
ST	11808064079	47986688975	211.87	5	3319370081	new	20191002	
ST	11808064079	48054845327	211.87	4	3319370081	used	20191002	
ST	11731387407	47625729743	26.66	7	3319316184	new	20191002	
ST	11731387407	48056282895	26.66	4	3319316184	used	20191002	
ST	11744464975	47698475087	36.25	7	9048199522	new	20191002	
ST	11744464975	47698475151	214.18	6	9400789912	new	20191002	
ST	11744464975	48438517071	38.16	4	9048199522	used	20191002	
ST	11822266703	48032779471	119.06	7	3319532030	new	20191002	
ST	11822266703	48059561999	112.19	7	3319532030	used	20191002	
ST	11735409167	47649463759	94.58	7	3639342526	new	20191002	
ST	11735409167	47850343631	94.58	7	3639342526	used	20191002	
ST	11730858895	47622859663	70.8	3	3319415425	new	20191002	
ST	11730858895	48055911887	70.8	7	3319415425	used	20191002	
